"","V1","Lon","Lat","X","Nimi","Type","Õppekeel","Aadress","x","y","ads_oid"
"1","1",24.69890725534,59.4412399506663,1,"Ehte Humanitaargümnaasium","gümnaasium","eesti/ vene","Ehte tn 9, Põhja-Tallinna linnaosa",539655,6589475,"ME01958363"
"2","2",24.7432890546178,59.4396683781898,2,"Gustav Adolfi Gümnaasium","gümnaasium","eesti","Suur-Kloostri tn 16, Kesklinna linnaosa",542175,6589327,"ME01926782"
"3","3",24.6480120021477,59.4174247378115,3,"Haabersti Vene Gümnaasium","gümnaasium","eesti/ vene","Õismäe tee 132, Haabersti linnaosa",536793,6586793,"ME00644875"
"4","4",24.7313348406282,59.4336849604615,4,"Jakob Westholmi Gümnaasium","gümnaasium","eesti","Kevade tn 8, Kesklinna linnaosa",541504,6588653,"ME00647804"
"5","6",24.7770786846029,59.4328304614696,6,"Kadrioru Saksa Gümnaasium","gümnaasium","eesti","Gonsiori tn 38, Kesklinna linnaosa",544101,6588587,"ME00648565"
"6","8",24.7284833824709,59.4437547436957,8,"Kalamaja Põhikool","põhikool","eesti","Vabriku tn 18, Põhja-Tallinna linnaosa",541330,6589773,"ME00641811"
"7","9",24.7077161461348,59.4521175602033,9,"Karjamaa Põhikool","põhikool","vene","Kopli tn 92, Põhja-Tallinna linnaosa",540142,6590692,"ME00641878"
"8","12",24.8219335115543,59.437585163186,12,"Lasnamäe Gümnaasium","gümnaasium","eesti/ vene","Pae tn 59, Lasnamäe linnaosa",546640,6589147,"ME00645431"
"9","13",24.8532582489434,59.4378706696244,13,"Lasnamäe Muusikakool","huvikool","eesti","Punane tn 69, Lasnamäe linnaosa",548417,6589201,"ME01130010"
"10","14",24.8972186008339,59.443458437511,14,"Lasnamäe Põhikool","põhikool","vene","Ümera tn 46, Lasnamäe linnaosa",550903,6589856,"ME02101052"
"11","15",24.8353504157982,59.4428420047515,15,"Lasnamäe Vene Gümnaasium","gümnaasium","eesti/ vene","J. Koorti tn 23, Lasnamäe linnaosa",547394,6589742,"ME01049785"
"12","27",24.8469335419115,59.4927062278537,27,"Merivälja Kool","põhikool","eesti","Heki tee 16, Pirita linnaosa",547981,6595305,"ME00649333"
"13","29",24.693486346518,59.4042843141556,29,"Mustamäe Laste Loomingu Maja","huvikool","eesti/ vene","E. Vilde tee 54, Mustamäe linnaosa",539390,6585355,"ME00645432"
"14","31",24.6854343725219,59.3881771601703,31,"Nõmme Muusikakool","huvikool","eesti/ vene","Pärnu mnt 320, Nõmme linnaosa",538951,6583556,"ME01657178"
"15","32",24.7151588847291,59.4345547922319,32,"Pelgulinna Gümnaasium","gümnaasium","eesti","Mulla tn 7, Põhja-Tallinna linnaosa",540585,6588740,"ME00641819"
"16","36",24.8415040314537,59.4701104950183,36,"Pirita Majandusgümnaasium","gümnaasium","eesti","Metsavahi tee 19, Pirita linnaosa",547705,6592784,"ME01663070"
"17","37",24.712636782476,59.4420550702206,37,"Ristiku Põhikool","põhikool","eesti","Ristiku tn 69, Põhja-Tallinna linnaosa",540433,6589574,"ME00635238"
"18","41",24.7663567188736,59.4356043102152,41,"Tallinna 21. Kool","gümnaasium","eesti","Raua tn 6, Kesklinna linnaosa",543489,6588889,"ME01087594"
"19","43",24.6949958404692,59.4101202619734,43,"Tallinna 32. Keskkool","gümnaasium","eesti","Kiili tn 10, Mustamäe linnaosa",539469,6586006,"ME01656608"
"20","44",24.6866973705088,59.3967434762522,44,"Tallinna 53. Keskkool","gümnaasium","eesti/ vene","J. Sütiste tee 42, Mustamäe linnaosa",539013,6584511,"ME00644650"
"21","47",24.6912556741832,59.4036766528195,47,"Tallinna Arte Gümnaasium","gümnaasium","eesti","E. Vilde tee 62, Mustamäe linnaosa",539264,6585286,"ME02766553"
"22","51",24.6994418574102,59.4423861316592,51,"Tallinna Heleni Kool","lasteaed-põhikool","eesti","Ehte tn 7, Põhja-Tallinna linnaosa",539684,6589603,"EE03228496"
"23","52",24.7386626284884,59.4221447525261,52,"Tallinna Humanitaargümnaasium","gümnaasium","eesti/ vene","Koidu tn 97, Kesklinna linnaosa",541934,6587372,"ME01941199"
"24","53",24.6968858228079,59.4181804129557,53,"Tallinna Huvikeskus Kullo","huvikool","eesti/ vene","Mustamäe tee 59, Kristiine linnaosa",539567,6586905,"ME00658926"
"25","54",24.7466554699478,59.4332219463558,54,"Tallinna Inglise Kolledž","gümnaasium","eesti","Estonia pst 10, Kesklinna linnaosa",542374,6588611,"ME00647961"
"26","56",24.7661416134564,59.4385858682652,56,"Tallinna Juudi Kool","gümnaasium","eesti/ vene","Karu tn 16, Kesklinna linnaosa",543473,6589221,"ME01658650"
"27","57",24.6399050201064,59.4096277198344,57,"Tallinna Järveotsa Gümnaasium","gümnaasium","eesti","Järveotsa tee 31, Haabersti linnaosa",536341,6585920,"ME00645389"
"28","60",24.6654867248946,59.4048957271585,60,"Tallinna Kadaka Põhikool","põhikool","vene","E. Vilde tee 120, Mustamäe linnaosa",537799,6585407,"ME00645429"
"29","62",24.7518555862731,59.4389105815417,62,"Tallinna Kanutiaia Huvikool","huvikool","eesti/ vene","Aia tn 12, Kesklinna linnaosa",542662,6589248,"ME01964548"
"30","64",24.768661705166,59.4330953134495,64,"Tallinna Kesklinna Vene Gümnaasium","gümnaasium","eesti/ vene","F. R. Kreutzwaldi tn 25, Kesklinna linnaosa",543623,6588611,"ME00643183"
"31","70",24.6445410554642,59.375322659011,70,"Tallinna Kivimäe Põhikool","põhikool","eesti","Leegi tn 14, Nõmme linnaosa",536641,6582101,"ME00648524"
"32","72",24.6857987036674,59.4563986433714,72,"Tallinna Kopli Ametikool","kutseõppeasutus","eesti/ vene","Kopli tn 98, Põhja-Tallinna linnaosa",538894,6591156,"ME01107067"
"33","73",24.6990667129496,59.4516161641327,73,"Tallinna Kopli Noortemaja","huvikool","eesti/ vene","Lina tn 8, Põhja-Tallinna linnaosa",539652,6590631,"ME00650578"
"34","74",24.7206258969345,59.4180435871229,74,"Tallinna Kristiine Gümnaasium","gümnaasium","eesti","Nõmme tee 32, Kristiine linnaosa",540915,6586904,"ME00643190"
"35","78",24.680421338439,59.4564354994678,78,"Tallinna Kunstigümnaasium","gümnaasium","eesti","Kopli tn 102a, Põhja-Tallinna linnaosa",538589,6591157,"ME00641813"
"36","79",24.7315200663957,59.4341058404443,79,"Tallinna Kunstikool","huvikool","eesti","Kevade tn 4, Kesklinna linnaosa",541514,6588700,"ME00647430"
"37","80",24.8791903605307,59.4463628839419,80,"Tallinna Kuristiku Gümnaasium","gümnaasium","eesti","K. Kärberi tn 9, Lasnamäe linnaosa",549876,6590166,"ME00658915"
"38","82",24.8398960411293,59.4377411274171,82,"Tallinna Laagna Gümnaasium","gümnaasium","eesti","Vikerlase tn 16, Lasnamäe linnaosa",547659,6589177,"EE02853055"
"39","83",24.8335023884778,59.437898452247,83,"Tallinna Laagna Lasteaed-Põhikool","lasteaed-põhikool","eesti","P. Pinna tn 15, Lasnamäe linnaosa",547296,6589190,"ME01088915"
"40","117",24.7028886097585,59.4197284065504,117,"Tallinna Lilleküla Gümnaasium","gümnaasium","eesti","Kuldnoka tn 24, Kristiine linnaosa",539906,6587081,"ME00644358"
"41","120",24.8742101717999,59.449457177197,120,"Tallinna Linnamäe Vene Lütseum","gümnaasium","eesti/ vene","Linnamäe tee 10, Lasnamäe linnaosa",549589,6590507,"ME01146471"
"42","124",24.8676238132564,59.4539084004677,124,"Tallinna Läänemere Gümnaasium","gümnaasium","eesti/ vene","Vormsi tn 3, Lasnamäe linnaosa",549209,6590998,"ME01990543"
"43","128",24.8811704521459,59.4404338136253,128,"Tallinna Mahtra Põhikool","põhikool","vene","Mahtra tn 60, Lasnamäe linnaosa",549997,6589507,"ME00659679"
"44","131",24.881081060922,59.4540524893981,131,"Tallinna Merekalda Kool","põhikool","eesti","Läänemere tee 31, Lasnamäe linnaosa",549972,6591024,"ME02092771"
"45","136",24.6737043777612,59.4019813218597,136,"Tallinna Mustamäe Gümnaasium","gümnaasium","eesti","Keskuse tn 18, Mustamäe linnaosa",538269,6585087,"ME00645413"
"46","137",24.6724541980728,59.4091332521973,137,"Tallinna Mustamäe Humanitaargümnaasium","gümnaasium","eesti/ vene","A. H. Tammsaare tee 145, Mustamäe linnaosa",538190,6585883,"ME01656251"
"47","138",24.6907834278942,59.4047024921328,138,"Tallinna Mustamäe Reaalgümnaasium","gümnaasium","eesti/ vene","E. Vilde tee 64, Mustamäe linnaosa",539236,6585400,"EE03545528"
"48","139",24.6927251761863,59.4292886843389,139,"Tallinna Mustjõe Gümnaasium","gümnaasium","eesti/ vene","Paldiski mnt 83, Haabersti linnaosa",539318,6588140,"ME00645488"
"49","141",24.7696854537988,59.4378650102725,141,"Tallinna Muusikakool","huvikool","eesti","Narva mnt 28, Kesklinna linnaosa",543675,6589143,"ME00652815"
"50","147",24.6667759152089,59.3807145782843,147,"Tallinna Nõmme Gümnaasium","gümnaasium","eesti","Raudtee tn 73, Nõmme linnaosa",537899,6582714,"ME00643186"
"51","148",24.6914469920449,59.3800485169343,148,"Tallinna Nõmme Noortemaja","huvikool","eesti","Nurme tn 40, Nõmme linnaosa",539302,6582654,"ME00636675"
"52","149",24.6801610352211,59.3858256714318,149,"Tallinna Nõmme Põhikool","põhikool","eesti","Raudtee tn 68, Nõmme linnaosa",538654,6583291,"ME00632828"
"53","151",24.8022717739138,59.4281011394761,151,"Tallinna Pae Gümnaasium","gümnaasium","eesti/ vene","Pae tn 5, Lasnamäe linnaosa",545537,6588077,"ME00649523"
"54","156",24.7416203497006,59.4309972248556,156,"Tallinna Prantsuse Lütseum","gümnaasium","eesti","Hariduse tn 3, Kesklinna linnaosa",542091,6588360,"ME00656221"
"55","160",24.6483348359795,59.3685085008581,160,"Tallinna Pääsküla Gümnaasium","gümnaasium","eesti","Vikerkaare tn 10, Nõmme linnaosa",536864,6581344,"ME00646261"
"56","162",24.7030779646838,59.3826888805368,162,"Tallinna Rahumäe Põhikool","põhikool","eesti","Vabaduse pst 50, Nõmme linnaosa",539960,6582955,"ME00632844"
"57","164",24.7482745365801,59.433930899881,164,"Tallinna Reaalkool","gümnaasium","eesti","Estonia pst 6, Kesklinna linnaosa",542465,6588691,"EE02857118"
"58","168",24.6940259845088,59.3979079079993,168,"Tallinna Saksa Gümnaasium","gümnaasium","eesti","J. Sütiste tee 20, Mustamäe linnaosa",539428,6584645,"ME00659522"
"59","174",24.7520973945529,59.4290795874682,174,"Tallinna Südalinna Kool","gümnaasium","eesti","Liivalaia tn 23, Kesklinna linnaosa",542688,6588153,"ME00648287"
"60","176",24.7019284609085,59.4012771798668,176,"Tallinna Tehnikagümnaasium","gümnaasium","eesti","Sõpruse pst 187, Mustamäe linnaosa",539873,6585025,"ME01661217"
"61","179",24.7285742962479,59.4100014512643,179,"Tallinna Tondi Põhikool","põhikool","eesti","Tondi tn 40, Kristiine linnaosa",541376,6586013,"EE01656651"
"62","181",24.7413858409634,59.4274975872273,181,"Tallinna Tõnismäe Reaalkool","gümnaasium","eesti/ vene","Pärnu mnt 50, Kesklinna linnaosa",542082,6587970,"ME00654529"
"63","183",24.8450349622832,59.4509851258363,183,"Tallinna Täiskasvanute Gümnaasium","täiskasvanute gümnaasium","eesti","Katleri tn 2a, Lasnamäe linnaosa",547932,6590656,"ME00990677"
"64","185",24.7432649404946,59.4401801908563,185,"Tallinna Vanalinna Täiskasvanute Gümnaasium","täiskasvanute gümnaasium","eesti","Kooli tn 2, Kesklinna linnaosa",542173,6589384,"ME00643238"
"65","189",24.6453460473345,59.4133534248141,189,"Tallinna Õismäe Gümnaasium","gümnaasium","eesti","Õismäe tee 50, Haabersti linnaosa",536646,6586338,"ME01953084"
"66","190",24.6486596379545,59.4134987138821,190,"Tallinna Õismäe Vene Lütseum","gümnaasium","eesti/ vene","Õismäe tee 28, Haabersti linnaosa",536834,6586356,"ME00641100"
"67","191",24.7435949796236,59.4221439104847,191,"Tallinna Ühisgümnaasium","gümnaasium","eesti","Pärnu mnt 71, Kesklinna linnaosa",542214,6587375,"ME01111442"
"68","194",24.7369278976699,59.4429986016644,194,"Vana-Kalamaja Täiskasvanute Gümnaasium","täiskasvanute gümnaasium","vene","Vana-Kalamaja tn 9, Põhja-Tallinna linnaosa",541810,6589694,"ME00641837"
"69","195",24.7488519637597,59.4385686242677,195,"Vanalinna Hariduskolleegium","gümnaasium","eesti","Vene tn 22, Kesklinna linnaosa",542492,6589208,"ME00646041"
"70","196",24.7488519637597,59.4385686242677,196,"VHK Kunstimaja","huvikool","eesti","Vene tn 22, Kesklinna linnaosa",542492,6589208,"ME00646041"
"71","197",24.7488519637597,59.4385686242677,197,"VHK Muusikakool","huvikool","eesti","Vene tn 22, Kesklinna linnaosa",542492,6589208,"ME00646041"
"72","198",24.7488519637597,59.4385686242677,198,"VHK Muusikamaja","huvikool","eesti","Vene tn 22, Kesklinna linnaosa",542492,6589208,"ME00646041"
